region,date,"case fatality rate (cfr) - 
 confirmed & probable cases",case fatality rate (cfr) - confirmed & probable cases,contacts lost to follow-up,contacts seen,"contacts who completed 21 day 
 follow-up",contacts who completed 21 day follow-up,cumulative (confirmed + probable + suspected),cumulative (confirmed + probable + suspects),cumulative cfr,cumulative admission/isolation,cumulative cases among hcw,"cumulative confirmed, probable and suspected cases",cumulative deaths among hcw,currently under follow-up,new case/s (probable),new case/s (suspected),new admissions,new case/s (confirmed),newly reported cases in hcw,newly reported deaths in hcw,newly reported contacts,newly reported deaths,specimens collected,specimens pending for testing,total case/s (probable),total case/s (suspected),"total number of confirmed cases 
 of guinean nationality","total number of confirmed cases 
 of sierra leonean nationality",total number of confirmed cases of guinean nationality,total number of confirmed cases of sierra leonean nationality,total case/s (confirmed),total confirmed cases,total contacts listed,total death/s in confirmed cases,"total death/s in confirmed, 
 probable, suspected cases","total death/s in confirmed,  probable, suspected cases","total death/s in confirmed, probable, suspected cases",total death/s in probable cases,total death/s in suspected cases,total discharges,"total no. currently in treatment 
 units",total no. currently in treatment units,total probable cases,total specimens tested,total suspected cases
bomi county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bong county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand kru,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofa county,2014-06-16,,,0.0,95.0,,11.0,,,,5.0,0.0,,0.0,95.0,0.0,2.0,1.0,1.0,,0.0,41.0,1.0,1.0,0.0,,,,,,1.0,,8.0,95.0,4.0,,,8.0,2.0,2.0,3.0,,5.0,2.0,21.0,4.0
margibi county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maryland county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montserrado county,2014-06-16,,,0.0,0.0,,0.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,4.0,13.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,4.0,7.0,0.0
nimba county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river gee county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivercess county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinoe county,2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomi county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bong county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand kru,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofa county,2014-06-17,,,0.0,90.0,,11.0,,,,10.0,0.0,,0.0,95.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,7.0,,,,,,1.0,,8.0,95.0,4.0,,,8.0,2.0,2.0,0.0,,10.0,2.0,27.0,8.0
margibi county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maryland county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montserrado county,2014-06-17,,,0.0,0.0,,0.0,,,,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,5.0,13.0,4.0,,,8.0,4.0,0.0,0.0,,0.0,5.0,7.0,0.0
nimba county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river gee county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivercess county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinoe county,2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomi county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bong county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand kru,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofa county,2014-06-22,,14.0,0.0,112.0,,17.0,,,,15.0,0.0,,0.0,112.0,0.0,5.0,5.0,3.0,2.0,0.0,24.0,2.0,4.0,8.0,,,,,,4.0,,21.0,129.0,9.0,,,14.0,4.0,1.0,0.0,,15.0,4.0,40.0,6.0
margibi county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maryland county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montserrado county,2014-06-22,,11.0,0.0,120.0,,0.0,,,,0.0,1.0,,1.0,120.0,0.0,0.0,0.0,2.0,2.0,0.0,107.0,2.0,0.0,0.0,,,,,,0.0,,7.0,120.0,7.0,,,11.0,4.0,0.0,0.0,,0.0,4.0,9.0,0.0
nimba county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river gee county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivercess county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinoe county,2014-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomi county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bong county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand kru,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofa county,2014-06-24,,,0.0,112.0,,17.0,,,,20.0,0.0,,0.0,112.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,15.0,,,,,,4.0,,21.0,129.0,9.0,,,17.0,4.0,4.0,0.0,,20.0,4.0,47.0,13.0
margibi county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maryland county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
montserrado county,2014-06-24,,,15.0,112.0,,0.0,,,,0.0,2.0,,2.0,112.0,0.0,0.0,0.0,4.0,5.0,0.0,6.0,2.0,,,,,,,,0.0,,12.0,127.0,9.0,,,15.0,4.0,2.0,0.0,,5.0,4.0,,0.0
nimba county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river gee county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivercess county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinoe county,2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomi county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bong county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand kru,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lofa county,2014-06-25,,,0.0,0.0,,17.0,,,,20.0,1.0,,0.0,112.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,17.0,,,,,0.0,4.0,,21.0,129.0,10.0,,,19.0,4.0,5.0,0.0,,20.0,4.0,4.0,17.0
margibi county,2014-06-25,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0
maryland county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
montserrado county,2014-06-25,,,15.0,112.0,,0.0,,,,5.0,3.0,,3.0,124.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,1.0,2.0,2.0,,,,,0.0,0.0,,13.0,139.0,10.0,,,18.0,4.0,4.0,0.0,,5.0,4.0,0.0,0.0
nimba county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river gee county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rivercess county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinoe county,2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bomi county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-06-28,,,0.0,272.0,,17.0,,,,19.0,5.0,,2.0,272.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,,,,,0.0,4.0,,26.0,272.0,13.0,,,27.0,5.0,9.0,2.0,,19.0,8.0,0.0,27.0
margibi county,2014-06-28,,,0.0,6.0,,0.0,,,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-06-28,,,15.0,129.0,,5.0,,,,6.0,4.0,,3.0,141.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,0.0,0.0,,14.0,141.0,11.0,,,20.0,5.0,4.0,1.0,,6.0,8.0,3.0,2.0
nimba county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
river gee county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rivercess county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-06-28,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bomi county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-06-29,,,0.0,0.0,,17.0,,,,19.0,5.0,,2.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,,,0.0,4.0,,26.0,272.0,13.0,,,27.0,5.0,9.0,0.0,,19.0,8.0,0.0,27.0
margibi county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-06-29,,,15.0,0.0,,5.0,,,,6.0,4.0,,3.0,141.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,,0.0,0.0,,16.0,141.0,11.0,,,20.0,5.0,4.0,1.0,,6.0,8.0,4.0,2.0
nimba county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
river gee county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rivercess county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-06-29,,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bomi county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-07-01,,62.9,0.0,259.0,,17.0,,,,15.0,5.0,,3.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,,,,,0.0,4.0,,27.0,259.0,15.0,,,32.0,7.0,10.0,3.0,,15.0,8.0,0.0,29.0
margibi county,2014-07-01,,66.7,0.0,5.0,,0.0,,,,0.0,0.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-07-01,,79.3,15.0,158.0,,0.0,,,,4.0,5.0,,5.0,158.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,,,,,0.0,0.0,,20.0,158.0,13.0,,,27.0,10.0,4.0,0.0,,4.0,9.0,4.0,4.0
nimba county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
river gee county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rivercess county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-07-01,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bomi county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-07-02,,65.8,0.0,259.0,,0.0,,,,13.0,5.0,,3.0,259.0,3.0,0.0,1.0,0.0,0.0,0.0,10.0,3.0,3.0,6.0,,,,,0.0,4.0,,27.0,259.0,17.0,,,35.0,8.0,10.0,0.0,,13.0,11.0,0.0,29.0
margibi county,2014-07-02,,66.7,0.0,6.0,,0.0,,,,0.0,0.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-07-02,,86.2,15.0,158.0,,40.0,,,,5.0,5.0,,5.0,176.0,0.0,1.0,1.0,0.0,0.0,0.0,26.0,2.0,1.0,1.0,,,,,0.0,0.0,,20.0,176.0,13.0,,,29.0,12.0,4.0,0.0,,5.0,9.0,0.0,5.0
nimba county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
river gee county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rivercess county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-07-02,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bomi county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-07-03,,65.8,0.0,259.0,,0.0,,,,13.0,5.0,,3.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,0.0,4.0,,27.0,259.0,17.0,,,35.0,8.0,10.0,0.0,,13.0,11.0,0.0,29.0
margibi county,2014-07-03,,66.7,0.0,6.0,,0.0,,,,0.0,0.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-07-03,,87.5,15.0,158.0,,40.0,,,,5.0,5.0,,6.0,176.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,,,,,0.0,0.0,,21.0,176.0,14.0,,,33.0,14.0,5.0,0.0,,5.0,11.0,2.0,6.0
nimba county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
river gee county,2014-07-03,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rivercess county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
sinoe county,2014-07-03,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bomi county,2014-07-07,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
bong county,2014-07-07,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
grand kru,2014-07-07,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
lofa county,2014-07-07,,56.4,0.0,245.0,,7.0,,,,9.0,5.0,,3.0,245.0,2.0,0.0,2.0,4.0,0.0,0.0,37.0,1.0,3.0,3.0,,,,,0.0,4.0,,39.0,252.0,20.0,,,41.0,11.0,10.0,3.0,,9.0,16.0,8.0,31.0
margibi county,2014-07-07,,66.7,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,28.0,2.0,,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0
maryland county,2014-07-07,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
montserrado county,2014-07-07,,88.2,0.0,158.0,,8.0,,,,5.0,5.0,,6.0,158.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,,,,,0.0,0.0,,22.0,178.0,15.0,,,35.0,15.0,5.0,0.0,,5.0,12.0,0.0,7.0
