country,date,region,$deaths,$new_cases,"case fatality rate (cfr) - 
 confirmed & probable cases",case fatality rate (cfr) - confirmed & probable cases,cfr,contacts lost to follow-up,contacts seen,"contacts who completed 21 day 
 follow-up",contacts who completed 21 day follow-up,contacts_followed,contacts_healthy,contacts_ill,contacts_not_seen,cum_completed_contacts,cum_confirmed,cum_contacts,cum_noncase,cum_probable,cum_suspected,cumulative (confirmed + probable + suspected),cumulative (confirmed + probable + suspects),cumulative admission/isolation,cumulative cases among hcw,cumulative cfr,"cumulative confirmed, probable and suspected cases",cumulative deaths among hcw,currently under follow-up,death_confirmed,death_probable,death_suspected,etc_cum_admission,etc_cum_deaths,etc_cum_discharges,etc_currently_admitted,etc_new_admission,etc_new_deaths,etc_new_discharges,fatality rate for confirmed and probables,negative_corpse,new admissions,new admits to cte so far,new case/s (confirmed),new case/s (probable),new case/s (suspected),new cases of confirmed,new cases of confirmed among health workers,new cases of probables,new cases of suspects,new contacts registered so far,new deaths registered,new deaths registered among health workers,new deaths registered today,new deaths registered today (confirmed),new deaths registered today (probables),new deaths registered today (suspects),new_completed_contacts,new_confirmed,new_contacts,new_negative,new_noncase,new_positive,new_probable,new_samples,new_suspected,newly reported cases in hcw,newly reported contacts,newly reported deaths,newly reported deaths in hcw,number of confirmed cases among health workers,number of contacts followed today,number of contacts followed yesterday,number of contacts lost to follow up,number of contacts out of the track 21 days,number of contacts out of track,number of contacts to follow today,number of death of confirmed cases among health workers,number of deaths of confirmed cases among health workers,number of deaths of probables cases among health workers,number of female confirmed cases,number of female probables cases,number of female suspects cases,number of male confirmed cases,number of male probables cases,number of male suspects cases,number of patients tested,number of probables cases among health workers,number of samples collected,number of samples collected today,number of samples under test,number of suspects cases among health workers,pending,percent_seen,population,positive_corpse,repeat_samples,specimens collected,specimens pending for testing,total case of confirmed among health workers,total case/s (confirmed),total case/s (probable),total case/s (suspected),total cases of confirmed,total cases of probables,total cases of suspects,total confirmed cases,total contacts listed,total contacts registered from start date,total death/s in confirmed cases,"total death/s in confirmed, 
 probable, suspected cases","total death/s in confirmed,  probable, suspected cases","total death/s in confirmed, probable, suspected cases",total death/s in probable cases,total death/s in suspected cases,total deaths (confirmed + probables + suspects),total deaths of confirmed,total deaths of probables,total deaths of suspects,total deaths registered among health workers,total discharges,total new cases registered so far,"total no. currently in treatment 
 units",total no. currently in treatment units,total number of admissions to cte,"total number of confirmed cases 
 of guinean nationality","total number of confirmed cases 
 of sierra leonean nationality",total number of confirmed cases of guinean nationality,total number of confirmed cases of sierra leonean nationality,total number of exits from cte,total number of female cases,total number of hospitalized cases in cte,total number of male cases,total of cured in confirmed cases in cte,total of deaths in confirmed cases in cte,total pec center today,total pec center today (confirmed),total pec center today (probables),total pec center today (suspects),total probable cases,total samples tested,total specimens tested,total suspected cases,total suspected non-class cases,total_lab_samples
gn,2014-08-04,pita,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,26.0,,,15.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,1.0,1.0,0.0,,,41.0,,,,,,,2.0,1.0,1.0,0.0,,,0.0,,,,,,,,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
gn,2014-08-04,siguiri,3.0,6.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,,134.0,,,6.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,,0.0,,,,2.0,,,,,,,,,,,,6.0,0.0,0.0,,,141.0,,,,,,,3.0,3.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,8.0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,
gn,2014-08-04,telimele,7.0,23.0,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,,0.0,,,259.0,0.0,0.0,0.0,1.0,17.0,2.0,0.0,6.0,1.0,0.0,,1.0,,,,0.0,,,,,,,,,,,,23.0,3.0,0.0,,,259.0,,,,,,,10.0,7.0,3.0,0.0,,,0.0,,,,,,,,,19.0,,7.0,9.0,5.0,0.0,0.0,0.0,0.0,,,,,,
gn,2014-08-26,beyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn,2014-08-26,boffa,0.0,1.0,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,0.67,,,0,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,397,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,19.0,5,0,,,397,,,,,,,34,11.0,5,0,0,,,,,0,,,,,0,,0,,,,,,,,,,,,18,
gn,2014-08-26,conakry,6.0,20.0,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,0.42,,,3,,,,,0,,,53,0,0,,,,,,,,,,,,,,,,,,,260,,0,1725,,266,,,,,,,,,,,,,9,0,,,,,,,,,22,,,,98.0,8,8,,,1925,,,,,,,243,38.0,8,2,11,,,,,307,,,,,2,,27,,,,,,,,,723,,,195,
gn,2014-08-26,coyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn,2014-08-26,dabola,0.0,0.0,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,1.0,,,0,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,69,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,1.0,3,0,,,69,,,,,,,5,1.0,3,0,0,,,,,0,,,,,0,,0,,,,,,,,,,,,1,
gn,2014-08-26,dalaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gn,2014-08-26,dinguiraye,0.0,0.0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1.0,,,0,,,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0,1,0,,,0,,,,,,,1,0.0,1,0,0,,,,,0,,,,,0,,0,,,,,,,,,,,,0,
